ZoneId,TimestampUtc,Timestamp,TimeZoneId,Capacity,Vehicles,Violations,ViolationsEnforced
859835AD-E855-4DBF-83ED-419DEF40537C,2024-03-26 22:36:00.000,2024-03-26 15:36:00.000,Pacific Standard Time,1189,733,74,26
33B31206-E1F8-44CE-87A5-318C6D198416,2024-03-26 22:36:00.000,2024-03-26 15:36:00.000,Pacific Standard Time,807,495,68,13
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4,2024-03-26 22:36:00.000,2024-03-26 15:36:00.000,Pacific Standard Time,687,435,72,3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E,2024-03-26 22:35:00.000,2024-03-26 15:35:00.000,Pacific Standard Time,216,134,73,0
7A5B3916-AD6C-445E-A6C5-BC582EB20530,2024-03-26 22:35:00.000,2024-03-26 15:35:00.000,Pacific Standard Time,1100,850,56,4
E10D7DB4-C792-42AC-BAE8-969FA63F198D,2024-03-26 22:35:00.000,2024-03-26 15:35:00.000,Pacific Standard Time,1232,672,60,13
ACF9CF85-6991-42B9-9467-6094008D1094,2024-03-26 22:35:00.000,2024-03-26 15:35:00.000,Pacific Standard Time,990,507,120,65
859835AD-E855-4DBF-83ED-419DEF40537C,2024-03-26 22:35:00.000,2024-03-26 15:35:00.000,Pacific Standard Time,1189,735,74,26
33B31206-E1F8-44CE-87A5-318C6D198416,2024-03-26 22:35:00.000,2024-03-26 15:35:00.000,Pacific Standard Time,807,498,70,13
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4,2024-03-26 22:35:00.000,2024-03-26 15:35:00.000,Pacific Standard Time,687,437,73,3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E,2024-03-26 22:34:00.000,2024-03-26 15:34:00.000,Pacific Standard Time,216,132,71,0
7A5B3916-AD6C-445E-A6C5-BC582EB20530,2024-03-26 22:34:00.000,2024-03-26 15:34:00.000,Pacific Standard Time,1100,853,56,4
E10D7DB4-C792-42AC-BAE8-969FA63F198D,2024-03-26 22:34:00.000,2024-03-26 15:34:00.000,Pacific Standard Time,1232,680,61,13
ACF9CF85-6991-42B9-9467-6094008D1094,2024-03-26 22:34:00.000,2024-03-26 15:34:00.000,Pacific Standard Time,990,511,119,65
859835AD-E855-4DBF-83ED-419DEF40537C,2024-03-26 22:34:00.000,2024-03-26 15:34:00.000,Pacific Standard Time,1189,737,74,26
33B31206-E1F8-44CE-87A5-318C6D198416,2024-03-26 22:34:00.000,2024-03-26 15:34:00.000,Pacific Standard Time,807,501,70,13
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4,2024-03-26 22:34:00.000,2024-03-26 15:34:00.000,Pacific Standard Time,687,437,73,3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E,2024-03-26 22:33:00.000,2024-03-26 15:33:00.000,Pacific Standard Time,216,132,71,0
7A5B3916-AD6C-445E-A6C5-BC582EB20530,2024-03-26 22:33:00.000,2024-03-26 15:33:00.000,Pacific Standard Time,1100,855,56,4
E10D7DB4-C792-42AC-BAE8-969FA63F198D,2024-03-26 22:33:00.000,2024-03-26 15:33:00.000,Pacific Standard Time,1232,687,62,13
ACF9CF85-6991-42B9-9467-6094008D1094,2024-03-26 22:33:00.000,2024-03-26 15:33:00.000,Pacific Standard Time,990,516,118,65
859835AD-E855-4DBF-83ED-419DEF40537C,2024-03-26 22:33:00.000,2024-03-26 15:33:00.000,Pacific Standard Time,1189,740,74,26
33B31206-E1F8-44CE-87A5-318C6D198416,2024-03-26 22:33:00.000,2024-03-26 15:33:00.000,Pacific Standard Time,807,501,70,13
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4,2024-03-26 22:33:00.000,2024-03-26 15:33:00.000,Pacific Standard Time,687,441,73,3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E,2024-03-26 22:32:00.000,2024-03-26 15:32:00.000,Pacific Standard Time,216,130,71,0
7A5B3916-AD6C-445E-A6C5-BC582EB20530,2024-03-26 22:32:00.000,2024-03-26 15:32:00.000,Pacific Standard Time,1100,877,56,4
E10D7DB4-C792-42AC-BAE8-969FA63F198D,2024-03-26 22:32:00.000,2024-03-26 15:32:00.000,Pacific Standard Time,1232,718,62,14
ACF9CF85-6991-42B9-9467-6094008D1094,2024-03-26 22:32:00.000,2024-03-26 15:32:00.000,Pacific Standard Time,990,530,118,65
859835AD-E855-4DBF-83ED-419DEF40537C,2024-03-26 22:32:00.000,2024-03-26 15:32:00.000,Pacific Standard Time,1189,753,76,26
33B31206-E1F8-44CE-87A5-318C6D198416,2024-03-26 22:32:00.000,2024-03-26 15:32:00.000,Pacific Standard Time,807,522,70,13
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4,2024-03-26 22:32:00.000,2024-03-26 15:32:00.000,Pacific Standard Time,687,445,73,3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E,2024-03-26 22:31:00.000,2024-03-26 15:31:00.000,Pacific Standard Time,216,130,72,0
7A5B3916-AD6C-445E-A6C5-BC582EB20530,2024-03-26 22:31:00.000,2024-03-26 15:31:00.000,Pacific Standard Time,1100,877,55,4
E10D7DB4-C792-42AC-BAE8-969FA63F198D,2024-03-26 22:31:00.000,2024-03-26 15:31:00.000,Pacific Standard Time,1232,718,62,14
ACF9CF85-6991-42B9-9467-6094008D1094,2024-03-26 22:31:00.000,2024-03-26 15:31:00.000,Pacific Standard Time,990,530,118,65
859835AD-E855-4DBF-83ED-419DEF40537C,2024-03-26 22:31:00.000,2024-03-26 15:31:00.000,Pacific Standard Time,1189,753,77,26
33B31206-E1F8-44CE-87A5-318C6D198416,2024-03-26 22:31:00.000,2024-03-26 15:31:00.000,Pacific Standard Time,807,522,72,13
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4,2024-03-26 22:31:00.000,2024-03-26 15:31:00.000,Pacific Standard Time,687,445,73,3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E,2024-03-26 22:30:00.000,2024-03-26 15:30:00.000,Pacific Standard Time,216,130,72,0
