stall_name,stall_id,payload_timestamp,status,unix_timestamp
OL-05,506,2024-06-14 07:41:10,vacant,1718376070
AR-01,507,2024-06-14 07:43:21,vacant,1718376201
SL-01,509,2024-06-14 07:08:33,vacant,1718374113
SL-04,510,2024-06-14 07:17:14,vacant,1718374634
SL-03,511,2024-06-14 07:13:15,vacant,1718374395
SL-02,514,2024-06-14 07:15:50,vacant,1718374550
CG-1,2005,2024-06-14 07:33:27,vacant,1718375607
CG-2,2006,2024-06-14 07:34:59,vacant,1718375699
CG-3,2007,2024-06-14 07:42:44,vacant,1718376164
CG-4,2008,2024-06-14 07:29:26,vacant,1718375366
RG5-1,2012,2024-06-14 07:26:59,vacant,1718375219
RG5-2,2013,2024-06-14 07:30:51,vacant,1718375451
RG5-3,2014,2024-06-14 07:23:28,vacant,1718375008
RG5-4,2015,2024-06-14 07:30:00,vacant,1718375400
RG5-5,2016,2024-06-14 07:26:41,vacant,1718375201
RG5-6,2017,2024-06-14 07:11:00,vacant,1718374260
RG5-7,2018,2024-06-14 07:49:00,vacant,1718376540
RG5-8,2019,2024-06-14 07:43:53,vacant,1718376233
RG5-9,2020,2024-06-14 07:40:23,vacant,1718376023
BM-17,2085,2024-06-14 07:01:53,vacant,1718373713
BM-18,2086,2024-06-14 07:05:27,vacant,1718373927
New-02,3432,2024-06-14 07:30:22,vacant,1718375422
New-06,3436,2024-06-14 07:47:59,vacant,1718376479
New-07,3437,2024-06-14 06:56:33,vacant,1718373393
New-08,3438,2024-06-14 07:51:55,vacant,1718376715
New-09,3439,2024-06-14 06:56:58,vacant,1718373418
New-10,3440,2024-06-14 07:37:17,vacant,1718375837
New-11,3441,2024-06-14 06:59:45,vacant,1718373585
New-12,3442,2024-06-14 07:05:53,vacant,1718373953
New-13,3451,2024-06-14 06:55:27,vacant,1718373327
New-14,3452,2024-06-14 06:57:24,vacant,1718373444
New-16,3454,2024-06-14 07:38:50,vacant,1718375930
New-17,3455,2024-06-14 07:47:33,vacant,1718376453
New-18,3456,2024-06-14 07:45:54,vacant,1718376354
New-01,3457,2024-06-14 07:26:16,vacant,1718375176
New-03,3458,2024-06-14 07:23:29,vacant,1718375009
New-04,3459,2024-06-14 07:28:28,vacant,1718375308
New-19,3461,2024-06-14 07:00:31,vacant,1718373631
New-20,3462,2024-06-14 07:09:56,vacant,1718374196
NL-02,431,2024-06-14 07:56:03,occupied,1718376963
NP-01,436,2024-06-14 07:55:34,vacant,1718376934
TP-11,453,2024-06-14 07:53:31,vacant,1718376811
TP-12,454,2024-06-14 07:56:14,vacant,1718376974
AL-03,479,2024-06-14 07:54:11,vacant,1718376851
BR-02,495,2024-06-14 07:53:35,vacant,1718376815
New-07,3437,2024-06-14 07:56:33,vacant,1718376993
New-09,3439,2024-06-14 07:56:58,vacant,1718377018
New-13,3451,2024-06-14 07:55:27,vacant,1718376927
HSM-1,4228,2024-06-14 07:32:39,occupied,1718375559
HSM-2,4229,2024-06-14 07:38:23,occupied,1718375903
HSM-3,4230,2024-06-14 07:00:03,occupied,1718373603
EMR-01,4691,2024-06-14 07:17:21,vacant,1718374641
EMR-02,4692,2024-06-14 07:38:46,vacant,1718375926
EMR-03,4693,2024-06-14 07:42:39,vacant,1718376159
EMR-04,4694,2024-06-14 07:45:22,vacant,1718376322
EMR-05,4695,2024-06-14 07:46:46,vacant,1718376406
EMR-06,4696,2024-06-14 07:46:06,vacant,1718376366
EMR-07,4697,2024-06-14 07:49:11,vacant,1718376551
EMR-08,4698,2024-06-14 07:51:04,vacant,1718376664
EMR-09,4699,2024-06-14 07:17:44,vacant,1718374664
EMR-10,4700,2024-06-14 06:57:45,vacant,1718373465
EMR-11,4701,2024-06-14 07:55:33,vacant,1718376933
EMR-12,4702,2024-06-14 06:11:31,vacant,1718370691
EMR-13,4703,2024-06-14 07:00:15,vacant,1718373615
EMR-14,4704,2024-06-14 07:27:20,vacant,1718375240
EMR-15,4705,2024-06-14 07:04:13,vacant,1718373853
EMR-16,4706,2024-06-14 07:04:31,vacant,1718373871
