stall_id,stall_name,payload_timestamp,status,unix_timestamp
469,WP-09,2024-06-14 07:02:09,vacant,1718373729
470,WP-08,2024-06-14 07:05:31,vacant,1718373931
471,WP-07,2024-06-14 07:11:21,vacant,1718374281
472,WP-06,2024-06-14 07:02:09,vacant,1718373729
473,WP-05,2024-06-14 07:24:08,vacant,1718375048
474,AL-07,2024-06-14 07:31:13,vacant,1718375473
475,AL-06,2024-06-14 07:27:46,vacant,1718375266
476,AL-05,2024-06-14 07:21:26,vacant,1718374886
477,AL-01,2024-06-14 07:24:56,vacant,1718375096
478,AL-02,2024-06-14 07:14:41,vacant,1718374481
479,AL-03,2024-06-14 06:54:11,vacant,1718373251
482,ML-01,2024-06-14 05:43:43,vacant,1718369023
483,ML-02,2024-06-14 07:41:20,vacant,1718376080
484,ML-03,2024-06-14 07:44:16,vacant,1718376256
485,CL-03,2024-06-14 07:24:59,vacant,1718375099
486,CL-02,2024-06-14 07:27:06,vacant,1718375226
487,CL-01,2024-06-14 07:48:03,vacant,1718376483
488,Law 1,2024-06-14 07:14:26,vacant,1718374466
489,Law 2,2024-06-14 07:05:07,vacant,1718373907
490,DL-01,2024-06-14 07:15:56,vacant,1718374556
492,FR-02,2024-06-14 07:25:12,vacant,1718375112
494,BR-01,2024-06-14 07:53:20,vacant,1718376800
495,BR-02,2024-06-14 06:53:35,vacant,1718373215
498,MR-01,2024-06-14 07:04:48,vacant,1718373888
499,MR-02,2024-06-14 07:04:58,vacant,1718373898
500,FL-01,2024-06-14 07:37:56,vacant,1718375876
501,TR-01,2024-06-14 07:44:44,vacant,1718376284
502,OL-01,2024-06-14 07:22:35,vacant,1718374955
503,OL-02,2024-06-14 07:01:28,vacant,1718373688
504,OL-03,2024-06-14 07:17:44,vacant,1718374664
505,OL-04,2024-06-14 07:05:11,vacant,1718373911
506,OL-05,2024-06-14 07:41:10,vacant,1718376070
507,AR-01,2024-06-14 07:43:21,vacant,1718376201
509,SL-01,2024-06-14 07:08:33,vacant,1718374113
510,SL-04,2024-06-14 07:17:14,vacant,1718374634
511,SL-03,2024-06-14 07:13:15,vacant,1718374395
514,SL-02,2024-06-14 07:15:50,vacant,1718374550
2005,CG-1,2024-06-14 07:33:27,vacant,1718375607
2006,CG-2,2024-06-14 07:34:59,vacant,1718375699
2007,CG-3,2024-06-14 07:42:44,vacant,1718376164
2008,CG-4,2024-06-14 07:29:26,vacant,1718375366
2012,RG5-1,2024-06-14 07:26:59,vacant,1718375219
2013,RG5-2,2024-06-14 07:30:51,vacant,1718375451
2014,RG5-3,2024-06-14 07:23:28,vacant,1718375008
2015,RG5-4,2024-06-14 07:30:00,vacant,1718375400
2016,RG5-5,2024-06-14 07:26:41,vacant,1718375201
2017,RG5-6,2024-06-14 07:11:00,vacant,1718374260
2018,RG5-7,2024-06-14 07:49:00,vacant,1718376540
2019,RG5-8,2024-06-14 07:43:53,vacant,1718376233
2020,RG5-9,2024-06-14 07:40:23,vacant,1718376023
2085,BM-17,2024-06-14 07:01:53,vacant,1718373713
2086,BM-18,2024-06-14 07:05:27,vacant,1718373927
3432,New-02,2024-06-14 07:30:22,vacant,1718375422
3436,New-06,2024-06-14 07:47:59,vacant,1718376479
3437,New-07,2024-06-14 06:56:33,vacant,1718373393
3438,New-08,2024-06-14 07:51:55,vacant,1718376715
3439,New-09,2024-06-14 06:56:58,vacant,1718373418
3440,New-10,2024-06-14 07:37:17,vacant,1718375837
3441,New-11,2024-06-14 06:59:45,vacant,1718373585
3442,New-12,2024-06-14 07:05:53,vacant,1718373953
3451,New-13,2024-06-14 06:55:27,vacant,1718373327
3452,New-14,2024-06-14 06:57:24,vacant,1718373444
3454,New-16,2024-06-14 07:38:50,vacant,1718375930
3455,New-17,2024-06-14 07:47:33,vacant,1718376453
3456,New-18,2024-06-14 07:45:54,vacant,1718376354
3457,New-01,2024-06-14 07:26:16,vacant,1718375176
3458,New-03,2024-06-14 07:23:29,vacant,1718375009
3459,New-04,2024-06-14 07:28:28,vacant,1718375308
