park,hour,weekday,season,Term,cars
North,2,Tuesday,Summer,0.0,25.0
North,2,Tuesday,Summer,1.0,16.0
North,2,Tuesday,Summer,2.0,
North,2,Tuesday,Winter,0.0,8.0
North,2,Tuesday,Winter,1.0,
North,2,Tuesday,Winter,2.0,11.0
North,2,Wednesday,Fall,0.0,14.0
North,2,Wednesday,Fall,1.0,
North,2,Wednesday,Fall,2.0,39.0
North,2,Wednesday,Spring,0.0,27.0
North,2,Wednesday,Spring,1.0,21.0
North,2,Wednesday,Spring,2.0,22.0
North,2,Wednesday,Summer,0.0,29.0
North,2,Wednesday,Summer,1.0,20.0
North,2,Wednesday,Summer,2.0,
North,2,Wednesday,Winter,0.0,17.0
North,2,Wednesday,Winter,1.0,
North,2,Wednesday,Winter,2.0,57.0
North,2,Thursday,Fall,0.0,24.0
North,2,Thursday,Fall,1.0,
North,2,Thursday,Fall,2.0,35.0
North,2,Thursday,Spring,0.0,34.0
North,2,Thursday,Spring,1.0,19.0
North,2,Thursday,Spring,2.0,34.0
North,2,Thursday,Summer,0.0,41.0
North,2,Thursday,Summer,1.0,23.0
North,2,Thursday,Summer,2.0,
North,2,Thursday,Winter,0.0,19.0
North,2,Thursday,Winter,1.0,
North,2,Thursday,Winter,2.0,21.0
North,2,Friday,Fall,0.0,36.0
North,2,Friday,Fall,1.0,
North,2,Friday,Fall,2.0,38.0
North,2,Friday,Spring,0.0,37.0
North,2,Friday,Spring,1.0,27.0
North,2,Friday,Spring,2.0,34.0
North,2,Friday,Summer,0.0,44.0
North,2,Friday,Summer,1.0,29.0
North,2,Friday,Summer,2.0,
North,2,Friday,Winter,0.0,17.0
North,2,Friday,Winter,1.0,
North,2,Friday,Winter,2.0,31.0
North,2,Saturday,Fall,0.0,66.0
North,2,Saturday,Fall,1.0,
North,2,Saturday,Fall,2.0,54.0
North,2,Saturday,Spring,0.0,33.0
North,2,Saturday,Spring,1.0,38.0
North,2,Saturday,Spring,2.0,42.0
North,2,Saturday,Summer,0.0,35.0
North,2,Saturday,Summer,1.0,35.0
North,2,Saturday,Summer,2.0,
North,2,Saturday,Winter,0.0,22.0
North,2,Saturday,Winter,1.0,
North,2,Saturday,Winter,2.0,48.0
North,2,Sunday,Fall,0.0,80.0
North,2,Sunday,Fall,1.0,
North,2,Sunday,Fall,2.0,68.0
North,2,Sunday,Spring,0.0,37.0
North,2,Sunday,Spring,1.0,34.0
North,2,Sunday,Spring,2.0,40.0
North,2,Sunday,Summer,0.0,36.0
North,2,Sunday,Summer,1.0,35.0
North,2,Sunday,Summer,2.0,
North,2,Sunday,Winter,0.0,23.0
North,2,Sunday,Winter,1.0,
North,2,Sunday,Winter,2.0,45.0
North,3,Monday,Fall,0.0,1.0
North,3,Monday,Fall,1.0,
North,3,Monday,Fall,2.0,0.0
North,3,Monday,Spring,0.0,0.0
North,3,Monday,Spring,1.0,0.0
North,3,Monday,Spring,2.0,0.0
North,3,Monday,Summer,0.0,0.0
North,3,Monday,Summer,1.0,0.0
North,3,Monday,Summer,2.0,
North,3,Monday,Winter,0.0,0.0
North,3,Monday,Winter,1.0,
North,3,Monday,Winter,2.0,0.0
North,3,Tuesday,Fall,0.0,
North,3,Tuesday,Fall,1.0,
North,3,Tuesday,Fall,2.0,34.0
North,3,Tuesday,Spring,0.0,17.0
North,3,Tuesday,Spring,1.0,12.0
North,3,Tuesday,Spring,2.0,17.0
North,3,Tuesday,Summer,0.0,24.0
North,3,Tuesday,Summer,1.0,16.0
North,3,Tuesday,Summer,2.0,
North,3,Tuesday,Winter,0.0,8.0
North,3,Tuesday,Winter,1.0,
North,3,Tuesday,Winter,2.0,11.0
North,3,Wednesday,Fall,0.0,13.0
North,3,Wednesday,Fall,1.0,
North,3,Wednesday,Fall,2.0,39.0
North,3,Wednesday,Spring,0.0,28.0
North,3,Wednesday,Spring,1.0,21.0
North,3,Wednesday,Spring,2.0,23.0
North,3,Wednesday,Summer,0.0,28.0
North,3,Wednesday,Summer,1.0,20.0
North,3,Wednesday,Summer,2.0,
North,3,Wednesday,Winter,0.0,17.0
North,3,Wednesday,Winter,1.0,
North,3,Wednesday,Winter,2.0,56.0
North,3,Thursday,Fall,0.0,22.0
North,3,Thursday,Fall,1.0,
North,3,Thursday,Fall,2.0,35.0
North,3,Thursday,Spring,0.0,34.0
North,3,Thursday,Spring,1.0,19.0
North,3,Thursday,Spring,2.0,32.0
North,3,Thursday,Summer,0.0,40.0
North,3,Thursday,Summer,1.0,23.0
North,3,Thursday,Summer,2.0,
North,3,Thursday,Winter,0.0,20.0
North,3,Thursday,Winter,1.0,
North,3,Thursday,Winter,2.0,21.0
North,3,Friday,Fall,0.0,36.0
North,3,Friday,Fall,1.0,
North,3,Friday,Fall,2.0,38.0
North,3,Friday,Spring,0.0,38.0
North,3,Friday,Spring,1.0,27.0
North,3,Friday,Spring,2.0,35.0
North,3,Friday,Summer,0.0,44.0
North,3,Friday,Summer,1.0,29.0
North,3,Friday,Summer,2.0,
North,3,Friday,Winter,0.0,17.0
North,3,Friday,Winter,1.0,
North,3,Friday,Winter,2.0,31.0
North,3,Saturday,Fall,0.0,66.0
North,3,Saturday,Fall,1.0,
North,3,Saturday,Fall,2.0,55.0
North,3,Saturday,Spring,0.0,34.0
North,3,Saturday,Spring,1.0,40.0
North,3,Saturday,Spring,2.0,42.0
North,3,Saturday,Summer,0.0,35.0
North,3,Saturday,Summer,1.0,35.0
North,3,Saturday,Summer,2.0,
North,3,Saturday,Winter,0.0,22.0
North,3,Saturday,Winter,1.0,
North,3,Saturday,Winter,2.0,48.0
North,3,Sunday,Fall,0.0,79.0
North,3,Sunday,Fall,1.0,
North,3,Sunday,Fall,2.0,68.0
North,3,Sunday,Spring,0.0,37.0
