PARKADE,CAPACITY,MAE,ΔMAE,NORMALIZED_MAE (BY CAPACITY),NORMALIZED_ΔMAE (BY CAPACITY),MSE,ΔMSE,NORMALIZED_MSE (BY CAPACITY),NORMALIZED_ΔMSE (BY CAPACITY),RMSE,ΔRMSE,NORMALIZED_RMSE (BY CAPACITY),NORMALIZED_ΔRMSE (BY CAPACITY),R2,ΔR2
,,,,,,,,,,,,,,,
LightGBM - hour,,,,,,,,,,,,,,,
North,990,22.630399196379447,29.212100803620555,0.022858989087251966,0.02950717252890965,1868.9182488635545,4251.010351136446,1.8877962109732873,4.2939498496327735,43.230987137278674,34.99901286272133,0.04366766377502897,0.03535253824517306,0.939616194156156,0.1328161941561561
West,1232,27.45891884848326,41.078781151516736,0.022288083480911738,0.03334316651908826,3191.3985854185885,9104.435314581411,2.5904209297228804,7.389963729368029,56.49246485522285,54.39413514477715,0.045854273421447114,0.04415108372141003,0.938714399901485,0.17361439990148497
Rose,807,26.047811880326627,24.773688119673373,0.03227733814166868,0.030698498289558084,3169.300513790285,4088.298486209715,3.92726209887272,5.066045212155781,56.29654086878061,28.894959131219395,0.06976027369117796,0.03580540164959033,0.8844826979230763,0.15148269792307634
Health Sciences,1189,25.70982595375412,-20.26312595375412,0.021623066403493794,-0.01704215807716915,3563.640346784883,6765.743853215117,2.997174387539851,5.690280784873942,59.69623394138765,41.93736605861235,0.050207093306465646,0.0352711236826008,0.9543230714188644,0.08702307141886445
Fraser,725,14.861372057135132,26.96462794286487,0.02049844421673811,0.03719259026602051,910.3953039750198,3355.7877960249803,1.2557176606551999,4.628672822103421,30.172757646178447,35.143242353821556,0.041617596753349584,0.04847343772940904,0.9465923242647142,0.20089232426471415
Thunderbird,1634,43.53678020400604,51.55851979599395,0.026644296330481054,0.0315535616866548,11561.957311711752,25561.12148828825,7.07586126787745,15.643281204582772,107.5265423591392,85.14695764086079,0.06580571747805336,0.0521095212000372,0.8947558323916481,0.23095583239164819
University Lot Blvd,216,10.013118699933376,9.247881300066624,0.04635703101821007,0.04281426527808622,321.16644657482067,542.7120534251794,1.4868816971056513,2.512555802894349,17.921117336115532,11.470682663884467,0.08296813581534969,0.05310501233279846,0.728329751699103,0.46832975169910296
,,,,,,,,,,,,,,,
LightGBM - day,,,,,,,,,,,,,,,
North,990,29.120895864150523,22.72160413584948,0.02941504632742477,0.022951115288736848,3083.1330448141807,3036.7955551858195,3.1142758028426067,3.067470257763454,55.52596730192263,22.704032698077377,0.0560868356585077,0.02293336636169432,0.9003855266103772,0.09358552661037722
West,1232,35.729404977993624,32.80829502200638,0.029001140404215604,0.026630109595784397,5439.924627095412,6855.909272904588,4.4155232362787435,5.564861422812165,73.75584469786385,37.13075530213615,0.05986675705995442,0.03013860008290272,0.8955351278322056,0.13043512783220557
Rose,807,33.15246616454829,17.669033835451714,0.04108112288048115,0.02189471355074562,4273.030397912419,2984.568602087581,5.294957122568054,3.6983501884604473,65.36842049424492,19.82307950575509,0.08100176021591687,0.024563915124851413,0.8442530327711963,0.11125303277119636
Health Sciences,1189,36.67477307881585,-31.228073078815854,0.03084505725720425,-0.026264148930879607,5733.18300633649,4596.201193663511,4.821852822822952,3.8656023495908416,75.71778527094206,25.915814729057942,0.06368190519002696,0.02179631179903948,0.9265149775960768,0.059214977596076857
Fraser,725,26.220331738714258,15.605668261285743,0.03616597481201966,0.021525059670738957,1972.5552371700144,2293.627862829986,2.7207658443724334,3.1636246383861875,44.4134578384752,20.9025421615248,0.06125994184617269,0.02883109263658593,0.884281487375064,0.13858148737506393
Thunderbird,1634,63.72638335446242,31.368916645537574,0.03900023461105411,0.019197623406081745,24039.75720486589,13083.321595134112,14.712213711668232,8.00692876079199,155.04759657881155,37.62590342118844,0.09488836999927268,0.023026868678817893,0.7811750927353652,0.11737509273536528
University Lot Blvd,216,11.893455084680475,7.367544915319524,0.05506229205870591,0.03410900423759039,411.937840094892,451.940659905108,1.9071196300689446,2.0923178699310556,20.29625187306494,9.09554812693506,0.09396412904196731,0.04210901910618084,0.6515474873025284,0.3915474873025284
,,,,,,,,,,,,,,,
