Actual,North
2,3.908499891315735
0,1.6759276013993114
0,1.2473996239917375
2,1.6064498138475507
19,17.163696966776733
57,48.58367592597518
98,104.95151525832776
213,189.75478678326505
308,291.3883643690776
358,321.76650361556943
380,310.39687180239554
377,313.21818713458407
341,317.88609795885316
260,267.6696199517869
173,135.31759622862972
71,49.86471600752302
0,15.923730980955275
0,5.430889185315332
2,1.300048523262152
4,0.4536601600966447
0,0.0
0,0.30607549280314966
3,1.4173663386345752
3,1.342735741901168
3,3.121881988944633
3,1.5936813584974285
5,1.4858962735074657
5,2.0658303835666696
8,2.079734267596005
4,16.704734762685476
8,30.163336606085394
21,59.50260150671041
43,70.22030180066076
66,79.89428811901975
