PARKADE,CAPACITY,MAE,ΔMAE,NORMALIZED_MAE (BY CAPACITY),NORMALIZED_ΔMAE (BY CAPACITY),MSE,ΔMSE,NORMALIZED_MSE (BY CAPACITY),NORMALIZED_ΔMSE (BY CAPACITY),RMSE,ΔRMSE,NORMALIZED_RMSE (BY CAPACITY),NORMALIZED_ΔRMSE (BY CAPACITY),R2,ΔR2
Health Sciences,1189,0.0379126320983851,5.408787367901615,3.188614978838108e-05,0.004549022176536262,0.0053674446634823,10329.378832555338,4.514251188799243e-06,8.687450658162605,0.0732628464058168,101.56033715359419,6.161719630430345e-05,0.08541659979276214,0.902573744569408,0.035273744569408017
Fraser,725,0.0476217228466756,41.77837827715332,6.568513496093187e-05,0.057625349347797686,0.0064082553106753,4266.176691744689,8.838972842310759e-06,5.884381643785779,0.0800515790642219,65.23594842093578,0.0001104159711230647,0.08998061851163557,0.802315284452885,0.056615284452884995
Thunderbird,1634,0.0519116396390092,95.04338836036098,3.176966930171922e-05,0.058166088347834134,0.0135985943193103,37123.06520140568,8.322273145232743e-06,22.719134150187077,0.1166130109349309,192.55688698906505,7.136659175944363e-05,0.11784387208633113,0.6695050724897612,0.005705072489761265
University Lot Blvd,216,0.0650773605539449,19.195922639446053,0.00030128407663863383,0.08887001221965765,0.0112243385176488,863.8672756614824,5.1964530174299996e-05,3.999385535469826,0.10594497872787,29.28585502127213,0.0004904860126290278,0.13558266213551912,0.5570240261774886,0.2970240261774886
,,,,,,,,,,,,,,,
LightGBM - hour,,,,,,,,,,,,,,,
North,990,0.0227211130110028,51.819778886989,2.2950619203033132e-05,0.052343210996958586,0.0018633047977084,6119.926736695203,1.8821260582913133e-06,6.1817441784800025,0.0431660143829436,78.18683398561706,4.3602034730246064e-05,0.07897659998547177,0.9409882075479968,0.13418820754799687
West,1232,0.0219534439205001,68.5157465560795,1.7819353831574758e-05,0.05561343064616843,0.0020192306052979,12295.831880769394,1.6389858809236199e-06,9.980383020105027,0.0449358498895696,110.84166415011043,3.6473904131144154e-05,0.089968883238726,0.9411183709246088,0.1760183709246088
Rose,807,0.0319953524865163,50.78950464751348,3.964727693496443e-05,0.0629361891542918,0.0047447595808442,7257.594255240419,5.879503817650806e-06,8.993301431524683,0.0688822152724797,85.12261778472752,8.535590492252751e-05,0.10548031943584575,0.8873535452263579,0.1543535452263579
Health Sciences,1189,0.0215348298201488,5.425165170179851,1.811171557623953e-05,0.004562796610748403,0.0024101215902009,10329.381789878411,2.02701563515635e-06,8.687453145398159,0.0490929892163935,101.58450701078361,4.12893096857809e-05,0.08543692767938066,0.9562530894331828,0.08895308943318281
Fraser,725,0.0204840484223656,41.80551595157763,2.8253859892918066e-05,0.0576627806228657,0.0017329771273995,4266.181367022873,2.390313279171724e-06,5.8843880924453424,0.0416290418746276,65.27437095812537,5.7419368102934615e-05,0.09003361511465569,0.946540349303979,0.20084034930397898
Thunderbird,1634,0.0272438931495383,95.06805610685046,1.667312922248366e-05,0.05818118488791338,0.0045056282182426,37123.074294371785,2.7574224101851896e-06,22.719139715037812,0.0671239764781758,192.60637602352182,4.107954496828385e-05,0.11787415913312228,0.8904969707595682,0.2266969707595683
University Lot Blvd,216,0.0463570309056889,19.21464296909431,0.0002146158838226338,0.08895668041247366,0.0068837115308737,863.8716162884691,3.186903486515602e-05,3.9994056309651347,0.0829681356357595,29.30883186436424,0.0003841117390544421,0.13568903640909372,0.7283297528752002,0.4683297528752002
,,,,,,,,,,,,,,,
LightGBM - day,,,,,,,,,,,,,,,
North,990,0.0291619543933932,51.813338045606606,2.945651958928606e-05,0.05233670509657233,0.0031798742096931,6119.925420125791,3.2119941512051518e-06,6.18174284861191,0.0563903733778479,78.17360962662215,5.695997310893727e-05,0.07896324204709308,0.8992917975005161,0.09249179750051617
West,1232,0.0291671302125279,68.50853286978747,2.367461867899992e-05,0.055607575381321,0.0036090580248662,12295.830290941974,2.9294302149887987e-06,9.980381729660694,0.0600754361188188,110.82652456388118,4.876252931722305e-05,0.08995659461353991,0.8947583226134858,0.12965832261348575
Rose,807,0.0405937447484266,50.78090625525157,5.030203810213953e-05,0.06292553439312462,0.0063969110201695,7257.59260308898,7.926779454980792e-06,8.993299384249045,0.0799806915459574,85.11151930845405,9.910866362572168e-05,0.10546656667714256,0.8481294287631046,0.11512942876310461
Health Sciences,1189,0.0307878160435538,5.415912183956446,2.5893873880196634e-05,0.004555014452444446,0.0040287370853028,10329.380171262916,3.3883406941150544e-06,8.6874517840731,0.0634723332271849,101.57012766677282,5.338295477475601e-05,0.08542483403429169,0.9268730666184904,0.05957306661849049
Fraser,725,0.0369070404852317,41.78909295951477,5.0906262738250613e-05,0.05764012822002037,0.0038956021009282,4266.179204397899,5.373244277142345e-06,5.884385109514344,0.0624147586787634,65.25358524132123,8.608932231553572e-05,0.09000494516044308,0.8798267303857487,0.13412673038574863
Thunderbird,1634,0.0383816048212852,95.05691839517871,2.3489354235792654e-05,0.05817436866290007,0.0085831165825659,37123.07021688342,5.252825325927723e-06,22.719137219634895,0.0926451109479933,192.580854889052,5.669835431333739e-05,0.11785854032377724,0.7913992853850396,0.12759928538503962
University Lot Blvd,216,0.0550622920659007,19.205937707934098,0.00025491801882361435,0.08891637827747267,0.0088292575546225,863.8696707424455,4.087619238251158e-05,3.999396623807618,0.093964129084574,29.297835870915424,0.00043501911613228703,0.13563812903201586,0.6515474869865263,0.3915474869865263
,,,,,,,,,,,,,,,
