date,index,Actual,North,West,Rose,Health Sciences,Fraser,Thunderbird,University Lot Blvd
2023-02-07 09:00:00,54,260,256.46813849174976,423.2429610560674,196.41811927303115,550.1615304087514,185.1971059316097,516.6355865558103,
2023-02-07 10:00:00,55,380,376.3463737366322,598.9575389115038,390.97280458975695,750.8260370053104,347.2742074478002,742.5820491915237,
2023-02-07 11:00:00,56,480,427.0151503951426,670.0775453906815,491.6680283189672,798.5097458306249,412.06448452800447,899.7741944285006,
2023-02-07 12:00:00,57,507,455.9630311418962,693.5456695088355,515.6522206361902,818.5448045503904,432.08815827339214,924.0392622894034,
2023-02-07 13:00:00,58,507,439.2347218987911,670.2777202874812,548.4998052492922,819.1895748379818,426.2084730382738,957.7182680646004,
2023-02-07 14:00:00,59,525,472.8233444667333,668.1821624854449,590.203410840856,813.7825715033391,425.7109574627162,1004.5621192991337,
2023-02-07 15:00:00,60,476,434.7060992502065,667.3579349236828,540.396052281818,787.906523460161,411.1384668488066,924.0225367405096,
2023-02-07 16:00:00,61,375,331.3778060635113,577.9939180864209,447.6457913137883,617.9075169594397,389.3619646811161,781.5720223020445,
2023-02-07 17:00:00,62,213,169.7753191718542,399.4148634242724,340.4035917355517,370.36300124983865,246.14928631314424,553.4401022945007,
2023-02-07 18:00:00,63,80,41.86624974250042,283.85309316364675,219.43316228721616,161.04971211582915,171.47400821570344,306.55132766778013,
2023-02-07 19:00:00,64,1,6.138485436986614,173.48435862999224,138.54862657577027,108.40262774049869,94.81812124744096,238.0873126828232,
2023-02-07 20:00:00,65,3,4.202112259791654,120.162511250025,81.58266508808349,56.29165168965441,73.38176784121295,202.95144344988137,
2023-02-07 21:00:00,66,1,4.196006412990584,77.47017889996484,36.92394000262591,55.154636945676906,76.25855204563446,138.97275571725024,
2023-02-07 22:00:00,67,0,3.2845217030402414,59.77149477285056,11.754670691475855,43.735696851642416,57.09341382647115,100.6413011719264,
2023-02-07 23:00:00,68,0,3.2851004285633523,37.380841734076704,3.224618795586266,30.23042433374803,47.680185013272805,49.51680502718896,
2023-02-08 00:00:00,69,0,3.3792903072135925,32.037504264582154,1.955319173002721,0.0,45.03517336505233,54.987274421259606,
