date,term_date,is_holiday,day_of_week,month,day_of_year,week_of_year,hour,weighted_day_of_year,year,is_month_start,is_month_end,sin_hour,cos_hour,sin_day,cos_day,sin_week,cos_week,sin_month,cos_month,is_day,day_duration,night_duration,lag_7_days_Occupancy
2024-08-06 18:00:00,False,False,1,8,219,32,18,21900,2024,0,0,-1.0,-1.8369701987210297e-16,-0.5856957398073508,-0.8105309990194823,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,1,-6,0,410.0
2024-08-06 19:00:00,False,False,1,8,219,32,19,21900,2024,0,0,-0.9659258262890684,0.2588190451025203,-0.5856957398073508,-0.8105309990194823,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,0,0,19,418.0
2024-08-06 20:00:00,False,False,1,8,219,32,20,21900,2024,0,0,-0.8660254037844386,0.5000000000000001,-0.5856957398073508,-0.8105309990194823,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,0,0,20,413.0
2024-08-06 21:00:00,False,False,1,8,219,32,21,21900,2024,0,0,-0.7071067811865477,0.7071067811865474,-0.5856957398073508,-0.8105309990194823,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,0,0,21,381.0
2024-08-06 22:00:00,False,False,1,8,219,32,22,21900,2024,0,0,-0.5000000000000004,0.8660254037844384,-0.5856957398073508,-0.8105309990194823,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,0,0,22,284.0
2024-08-06 23:00:00,False,False,1,8,219,32,23,21900,2024,0,0,-0.25881904510252157,0.9659258262890681,-0.5856957398073508,-0.8105309990194823,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,0,0,23,178.0
2024-08-07 00:00:00,False,False,2,8,220,32,0,22000,2024,0,0,0.0,1.0,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,0,0,0,107.0
2024-08-07 01:00:00,False,False,2,8,220,32,1,22000,2024,0,0,0.25881904510252074,0.9659258262890683,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,0,0,1,66.0
2024-08-07 02:00:00,False,False,2,8,220,32,2,22000,2024,0,0,0.49999999999999994,0.8660254037844387,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,0,0,2,42.0
2024-08-07 03:00:00,False,False,2,8,220,32,3,22000,2024,0,0,0.7071067811865476,0.7071067811865476,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,0,0,3,28.0
