"TimestampUnix","Vehicles","Parkade"
"1718510340",2,"North"
"1718513940",0,"North"
"1718517540",0,"North"
"1718521140",2,"North"
"1718524740",3,"North"
"1718528340",6,"North"
"1718531940",9,"North"
"1718535540",10,"North"
"1718539140",9,"North"
"1718542740",10,"North"
"1718546340",11,"North"
"1718549940",23,"North"
"1718553540",41,"North"
"1718557140",47,"North"
"1718560740",51,"North"
"1718564340",53,"North"
"1718567940",55,"North"
"1718571540",58,"North"
"1718575140",67,"North"
"1718578740",68,"North"
"1718582340",56,"North"
"1718585940",43,"North"
"1718589540",25,"North"
"1718593140",11,"North"
"1718596740",3,"North"
"1718600340",10,"North"
"1718603940",7,"North"
"1718607540",6,"North"
"1718611140",9,"North"
"1718614740",13,"North"
"1718618340",0,"North"
"1718621940",0,"North"
"1718625540",1,"North"
"1718629140",30,"North"
"1718632740",115,"North"
"1718636340",158,"North"
"1718639940",247,"North"
"1718643540",323,"North"
"1718647140",353,"North"
"1718650740",362,"North"
"1718654340",376,"North"
"1718657940",368,"North"
"1718661540",318,"North"
"1718665140",239,"North"
"1718668740",153,"North"
"1718672340",66,"North"
"1718675940",29,"North"
"1718679540",20,"North"
"1718683140",5,"North"
"1718686740",0,"North"
"1718690340",0,"North"
"1718693940",2,"North"
"1718697540",1,"North"
"1718701140",1,"North"
"1718704740",2,"North"
"1718708340",2,"North"
"1718711940",3,"North"
"1718715540",28,"North"
"1718719140",125,"North"
"1718722740",178,"North"
"1718726340",297,"North"
"1718729940",399,"North"
"1718733540",431,"North"
"1718737140",423,"North"
"1718740740",413,"North"
"1718744340",400,"North"
"1718747940",334,"North"
"1718751540",233,"North"
"1718755140",120,"North"
"1718758740",50,"North"
"1718762340",4,"North"
"1718765940",0,"North"
"1718769540",1,"North"
"1718773140",2,"North"
"1718776740",1,"North"
"1718780340",8,"North"
"1718783940",6,"North"
"1718787540",6,"North"
"1718791140",5,"North"
"1718794740",8,"North"
"1718798340",9,"North"
"1718801940",41,"North"
"1718805540",124,"North"
"1718809140",175,"North"
"1718812740",271,"North"
"1718816340",345,"North"
"1718819940",374,"North"
"1718823540",386,"North"
"1718827140",401,"North"
"1718830740",399,"North"
"1718834340",355,"North"
"1718837940",240,"North"
"1718841540",128,"North"
"1718845140",46,"North"
"1718848740",1,"North"
"1718852340",6,"North"
"1718855940",0,"North"
"1718859540",1,"North"
"1718863140",0,"North"
"1718866740",5,"North"
"1718870340",0,"North"
"1718873940",1,"North"
"1718877540",2,"North"
"1718881140",2,"North"
"1718884740",3,"North"
"1718884800",3,"North"
"1717160340",310,"West"
"1717163940",309,"West"
"1717167540",289,"West"
"1717171140",195,"West"
"1717174740",111,"West"
"1717178340",67,"West"
"1717181940",40,"West"
"1717185540",24,"West"
